epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7696,1.24842,3.39316,3.45562,1.45831,0.17634,0.25005,0.1193,0.0792,0.15771,0.22479,0.09723,0.05895,1.36312,3.01984,2.901,1.61881,0.00332386,0.00332386,0.00332386
2,98.6778,1.32292,3.24346,2.83678,1.48994,0.26115,0.29423,0.18049,0.1172,0.21761,0.2434,0.13887,0.07943,1.49632,3.1732,2.70214,1.73758,0.00661326,0.00661326,0.00661326
3,144.423,1.428,3.34112,2.71848,1.54859,0.17301,0.20647,0.09921,0.05515,0.13761,0.14613,0.06515,0.03509,1.73423,3.57841,3.08272,1.94566,0.00985866,0.00985866,0.00985866
4,189.28,1.51925,3.52331,2.73382,1.63062,0.1926,0.23102,0.12629,0.07495,0.25658,0.14497,0.09015,0.04917,1.72531,3.41918,3.07816,2.01486,0.009802,0.009802,0.009802
5,233.096,1.47216,3.39978,2.57656,1.60129,0.24555,0.237,0.16557,0.10366,0.22216,0.21368,0.13547,0.07517,1.6644,3.31091,2.64606,1.86003,0.009736,0.009736,0.009736
6,277.48,1.47714,3.36387,2.48229,1.59204,0.20939,0.32188,0.18489,0.11134,0.16776,0.26883,0.13903,0.07815,1.50926,3.10376,2.6129,1.74799,0.00967,0.00967,0.00967
7,321.04,1.40632,3.2653,2.34986,1.54867,0.25212,0.27484,0.18964,0.11721,0.19033,0.22077,0.13972,0.07963,1.52623,3.10806,2.53427,1.71427,0.009604,0.009604,0.009604
8,365.11,1.38591,3.25851,2.29943,1.53334,0.32751,0.30637,0.25256,0.1624,0.28302,0.24963,0.19597,0.11458,1.41705,2.9888,2.36148,1.65769,0.009538,0.009538,0.009538
9,408.449,1.36938,3.20207,2.23677,1.52932,0.27721,0.25475,0.20585,0.1288,0.24793,0.21759,0.16562,0.09596,1.46297,3.02851,2.56027,1.68889,0.009472,0.009472,0.009472
10,452.221,1.35481,3.20501,2.18112,1.51931,0.29746,0.28524,0.21376,0.13902,0.25421,0.23892,0.16468,0.0971,1.41088,2.99817,2.46708,1.64929,0.009406,0.009406,0.009406
